Institution Code	Catalog Number	Scientific Name	Collector	Collector Num Prefix	Collector Num	Collector Num Suffix	early J date	late J date	Date Collected	County	Elevation	Locality	Latitude	Longitude	Datum	Link Back	
RSA	RSA0089267	Azolla filiculoides	Mark A. Elvin, Michael Brady, Jason Storlie		7633		2456917	2456917	2014-09-16	San Luis Obispo	17m	Central Coast: Guadalupe Dunes, Guadalupe-Nipomo Dunes National Wildlife Refuge, Colorado Pond, ca. 80 m from S Refuge boundary.	34.992583	-120.598944	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA0089267" target="_blank">View Details</a>	
UC	UC1483380	Azolla filiculoides	Robert F. Thorne, D. Propst, and M. Hoefs		45109		2442303	2442303	Sep 12 1974	Los Angeles	106 m	below Rancho Escondido; Santa Catalina Isl., Cottonwood Canyon	33.385857	-118.450920	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UC1483380" target="_blank">View Details</a>	
SDSU	SDSU14320	Azolla filiculoides	Michelle Perl		13		2452385	2452385	04/20/2002	Riverside	229 m	Santa Margarita Ecological Reserve 1/8 mile east of the junction between Santa Margarita River and Via Tornado Road.	33.456390	-117.170280	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SDSU14320" target="_blank">View Details</a>	
UC	UC1922449	Azolla filiculoides	Naomi Fraga, Daniel Brock		1336		2453310	2453310	31 Oct 2004	Kern		Sierra Nevada; Southern Sierra Nevada region: THE OWENS PEAK EASTERN WATERSHED. Indian Wells Canyon.	35.684400	-117.983000	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UC1922449" target="_blank">View Details</a>	
UCR	UCR249735	Azolla filiculoides	Jon P. Rebman, Warren Schmidtmann, G. Kenney		26625		2456434	2456434	2013-May-21	San Diego	25 m	Camp Pedleton, south-central portion of the base; Training Area SMR2, northeast of the intersection of Vandegrift Blvd and Basilone Road, along the southeast side of the Santa Margarita River. Square: E6	33.318310	-117.335610	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR249735" target="_blank">View Details</a>	
JROH	JROH2	Azolla	John Hunter Thomas		20167		2444556	2444556	11/12/1980	San Mateo		Jasper Ridge Biological Preserve, Stanford University; delta	37.407873	-122.245972	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JROH2" target="_blank">View Details</a>	
SEINET	SEINET3875617	Azolla filiculoides	Lowell Ahart		6473		2448032	2448032	5 20 1990	Butte	30m	About 1/4 mile south of the Feather River, about 4/10 mile west of Pacific Heights Road, about 4 1/2 miles south-west of Oroville.; 0	39.450556	-121.614167	NAD83	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SEINET3875617" target="_blank">View Details</a>	
UCR	UCR109011	Azolla filiculoides	L. C. Wheeler	s.n.			2440121	2440121	1968-Sep-21	Los Angeles	530 m	San Gabriel Mtns, Soledad Canyon, Santa Clara River	34.433330	-118.362500	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR109011" target="_blank">View Details</a>	
JEPS	JEPS113773	Azolla filiculoides	Lowell Ahart		14260		2454289	2454289	07 07 2007	Colusa	20 m	On north side of the Gridley Colusa Highway, about 1 1/4 miles east of River Road, about 17 miles west of Gridley	39.343330	-121.975830	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS113773" target="_blank">View Details</a>	
SBBG	SBBG127952	Azolla filiculoides	M. A. Elvin, G. M. Greenwald		7281		2456533	2456533	28-Aug-2013	San Luis Obispo	17m	"Colorado Pond", 4-Pond Valley, ca. 80 m from S Refuge boundary, Guadalupe-Nipomo Dunes National Wildlife Refuge	34.992580	-120.598940		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG127952" target="_blank">View Details</a>	
SD	SD223217	Azolla filiculoides	Jon P. Rebman, W. Schmidtmann, G. Kenney, J. Martin		23241		2456036	2456036	Apr 18, 2012	San Diego	4 m	Camp Pendleton: northeast of Stuart Mesa Road and west of Vandergrift Blvd.; along dirt road on the north side of the Santa Margarita River	33.248850	-117.381670	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD223217" target="_blank">View Details</a>	
SDSU	SDSU14014	Azolla filiculoides	Dinna Estrella, M. G. Simpson		29		2452385	2452385	04/20/2002	Riverside	229 m	Santa Margarita Ecological Reserve. River, ca. 1/4 mile east of junction with Via Tornado Road.	33.456390	-117.170280	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SDSU14014" target="_blank">View Details</a>	
SDSU	SDSU13513	Azolla filiculoides	W. Miller				2441539	2441539	08/09/1972	Riverside		75 m. north of road.	33.467220	-117.153330	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SDSU13513" target="_blank">View Details</a>	
SD	SD249294	Azolla filiculoides	Richard L. Breisch		817		2455779	2455779	Aug 05, 2011	San Diego	925 m	Lake Morena County Park; along Cottonwood Creek, just south of Corral Canyon Road about 0.75 mile SW of junction with Buckman Springs Road (S-1).	32.707240	-116.505020	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD249294" target="_blank">View Details</a>	
UC	UC1562395	Azolla filiculoides	Lowell Ahart		6473		2448032	2448032	May 20 1990	Butte	30 m	ca. 4 1/2 mi sw of Oroville (ca. 1/4 mi s of Feather River, ca. 4/10 mi w of Pacific Heights Rd.)	39.446500	-121.622800	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UC1562395" target="_blank">View Details</a>	
SBBG	SBBG104902	Azolla filiculoides	M. D. Proctor, E. A. Young	ROB	397		2449090	2449090	12-Apr-1993	San Luis Obispo		1 km SW of Ranch House on Nacimiento Rd; Camp Roberts	35.759000	-120.801000		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG104902" target="_blank">View Details</a>	
UCSB	UCSB71633	Azolla filiculoides	Olson, Mark				2449157	2449157	1993-06-18	Santa Barbara		Burton Mesa Project Area; W of Vandenberg Village, nearly a mile SW of Cabrillo High School, S of Hwy 1; Shown as intermittent pond on Lompoc quadrangle	34.704900	-120.487000	NAD83	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCSB71633" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66244	Azolla mexicana	John Thomas Howell		47402		2440854	2440854	Sept. 24, 1970	Kern	975 m	Havilah Creek at Havilah	35.517780	-118.517780	GEOLocate (copied from CAS815618)	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66244" target="_blank">View Details</a>	
CHSC	CHSC79632	Azolla filiculoides	Lowell Ahart		8718		2451936	2451936	2001-01-26	Butte	21 m	On the east side of the parking lot, on the north side of Rutherford Road, about 1/4 mile west of Pennington Road, Gray Lodge Waterfowl Management Area, about 6 miles (air) southwest of Gridley.	39.318889	-121.804167	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC79632" target="_blank">View Details</a>	
UC	UC1187054	Azolla microphylla	V. F. Hesse		2569	a	2436528	2436528	Nov 20 1958	Santa Cruz	121 m	near Camp Evers	37.042780	-122.023890	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UC1187054" target="_blank">View Details</a>	
CHSC	CHSC113304	Azolla filiculoides	Lowell Ahart		19338		2456757	2456757	2014-04-09	Butte	19 m	Bottom of a drying deep pond, about 50 yards west of the parking area, west end of West Liberty Road, about one mile (air) south of Colusa Highway, about 7 miles (air) southwest of Gridley.	39.348611	-121.838056	NULL	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC113304" target="_blank">View Details</a>	
RSA	RSA728884	Azolla filiculoides	Naomi Fraga, Daniel Brock		1336		2453310	2453310	2004-10-31	Kern	1098m	THE OWENS PEAK EASTERN WATERSHED. Indian Wells Canyon.	35.684400	-117.983000	NAD 27	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA728884" target="_blank">View Details</a>	
SEINET	SEINET3875614	Azolla filiculoides	Steve Boyd		8693		2450199	2450199	4 25 1996	Los Angeles	914m	Liebre Mountains, Knapp Ranch area at upper end of Castaic Creek drainage in broad alluvial valley at head of Cienega Canyon, south of Liebre Mountain.; 0	34.679160	-118.665270	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SEINET3875614" target="_blank">View Details</a>	
UCR	UCR101888	Azolla	A. C. Sanders, Steve Boyd, Val Soza		22343		2451133	2451133	1998-Nov-15	Kern	963 m	SE Sierra Nevada Mtns., Indian Wells Canyon, NW of Inyokern, c. 1.2 mi. above the mouth of the canyon at the powerline road	35.673610	-117.894170	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR101888" target="_blank">View Details</a>	
SBBG	SBBG47391	Azolla microphylla	E. C. Twisselmann		6632		2437578	2437578	5-Oct-1961	Kern	152 m	Kern River at Hart Memorial Park	35.452200	-118.911400		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG47391" target="_blank">View Details</a>	
RSA	RSA187697	Azolla filiculoides	Robert F. Thorne		36659		2439383	2439383	1966-09-14	Los Angeles	53m	Santa Catalina Island: lower Middle Ranch Canyon, ca. 3/4 mile above Ben Weston Beach	33.366915	-118.470039	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA187697" target="_blank">View Details</a>	
JEPS	JEPS122266	Azolla filiculoides	Lowell Ahart		19338		2456757	2456757	April 9, 2014	Butte		West end of Liberty Road, about one mile (air) south of Colusa Highway, about 7 miles (air) southwest of Gridley.	39.348611	-121.837944	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS122266" target="_blank">View Details</a>	
UCR	UCR196969	Azolla	Mark A. Elvin, Rick Burgess		5377		2454170	2454170	2007-Mar-10	Ventura	5 m	South Coast, Santa Clara River, c. 1.5 km upstream from Pacific Ocean between Harbor Blvd and 1200 m upstream (east)	34.235310	-119.250690	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR196969" target="_blank">View Details</a>	
UCR	UCR156783	Azolla filiculoides	Jon P. Rebman, J. Gregory, J. Rocks, & J. Dewitt		10620		2453228	2453228	2004-Aug-10	San Diego	285 m	Sycuan Peak Ecological Reserve (California Dept. of Fish & Game): southeast of Dehesa, southwest of Loveland Reservoir; on the lower northeast side of Sycuan Peak, near Sloan Ranch	32.771670	-116.800280	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR156783" target="_blank">View Details</a>	
UCR	UCR264482	Azolla filiculoides	Mark A. Elvin, Michael Brady, Jason Storlie		7633		2456917	2456917	2014-Sep-16	San Luis Obispo	17 m	Central Coastal: Santa Maria River Valley, Guadalupe Dunes, Guadalupe-Nipomo Dunes National Wildlife Refuge, 'Colorado Pond,' c. 80 m from south Refuge boundary	34.992580	-120.598940	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR264482" target="_blank">View Details</a>	
UCD	UCD136018	Azolla filiculoides	Ernest C. Twisselmann		6632		2437578	2437578	5 Oct 1961	Kern	152 m	Kern River at Hart Memorial Park.	35.450900	-118.910300	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCD136018" target="_blank">View Details</a>	
RSA	RSA0087325	Azolla filiculoides	R. G. Swinney		13384		2455377	2455377	2010-06-29	Los Angeles	308m	Hansen Food Control Basin, confluence of Big Tujunga Wash/stream with Hansen Lake.	34.268330	-118.379720	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA0087325" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66242	Azolla mexicana	John Thomas Howell		35164		2437019	2437019	Mar. 25, 1960	Kern	1341 m	Cane Brake Creek, w. side Walker Pass	35.697024	-118.057796	Google Earth	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66242" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC68343	Azolla filiculoides	Peter Rubtzoff		1812		2435228	2435228	April 30, 1955	Sonoma		Forestville Marsh	38.473900	-122.879500	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC68343" target="_blank">View Details</a>	
UCR	UCR127647	Azolla filiculoides	A. C. Sanders, Mark Elvin		25227		2452446	2452446	2002-Jun-20	Los Angeles	290 m	NE end of Santa Susana Mtns., Santa Clara River bottom at confluence with Castaic Creek, near and above bench mark 926, at foot of bluffs on south side of river	34.420000	-118.626670	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR127647" target="_blank">View Details</a>	
JEPS	JEPS118096	Azolla microphylla	Lowell Ahart		17633		2455791	2455791	08 17 2011	Butte	249 m	On the west edge of the pond, on the east side of the trail and dam, at the old homestead, about 100 yards south of Ten Mile House Road, about 5/8 mile (air) west of Highway 32, about 9 miles (air) northeast of Chico	39.801945	-121.726944	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS118096" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66252	Azolla mexicana	Ernest C. Twisselmann		16499		2440713	2440713	May 6, 1970	Kern	1005 m	Canebrake Creek at the Chimney Creek Road crossing	35.749811	-118.112544	GeoLocate (copied from RSA172787)	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66252" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC68353	Azolla filiculoides	Michael R. Benedict	s.n.			2440765	2440765	27 June 1970	Los Angeles		Santa Catalina Island - Lower Cape Canyon, stream under large wooden bridge.	33.360714	-118.417854		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC68353" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66207	Azolla filiculoides	Henry M. Pollard	s.n.			2439004	2439004	August 31, 1965	Ventura		in San Antonio Creek between Arnaz Apple Orchards and Oak View	34.382000	-119.302000	Maptech (copied from SBBG39900)	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66207" target="_blank">View Details</a>	
JEPS	JEPS120948	Azolla microphylla	Lowell Ahart		18550		2456403	2456403	Apr 20 2013	Butte		Wilson Creek, about 40 yards SW of the oak trees, about 1/2 mile N of the barn, about 3/4 mile N of the Honcut Cemetery, about 3.75 air miles NE of Honcut.	39.351667	-121.478306	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS120948" target="_blank">View Details</a>	
JEPS	JEPS102437	Azolla filiculoides	Lowell Ahart		8718		2455588	2455588	Jan 26 2011	Butte	21 m	On the east side of the parking lot, on the north side of Rutherford Road, about 1/4 mile west of Pennington Road, Gray Lodge Waterfowl Management Area, about 6 miles (air) SW of Gridley.	39.331000	-121.846000	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS102437" target="_blank">View Details</a>	
LA	LA211697	Azolla filiculoides	Mark A. Elvin;		7633		2456917	2456917	September 16 2014	San Luis Obispo	17.0 m	GUADALUPE DUNES, Guandalupe-Nipomo Dunes National Wildlife Refuge, "Colorado Pond," ca. 80 meters from south Refuge boundary.	34.9926	-120.5989	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=LA211697" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC376137	Azolla filiculoides	Eve Laeger		513		2451879	2451879	30 Nov 2000	Kern	792 m	Western slope of the Southern Sierra Nevada. South Fork Valley. Bank of the South Fork Kern River, Kern Audubon Preserve	35.675000	-118.302778	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC376137" target="_blank">View Details</a>	
OBI	OBI43085	Azolla filiculoides	David J. Keil, Kathy Jones		15846		2445064	2445064	4-Apr-82	San Luis Obispo		Nipomo Mesa along Black Lake Canyon	35.056237	-120.564034	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=OBI43085" target="_blank">View Details</a>	
UCSB	UCSB21073	Azolla filiculoides	Keefe, Joseph				2439602	2439602	1967-04-21	San Luis Obispo	9 m	Floating in north edge of Oso Flaco Lake, northwest of Santa Maria	35.030000	-120.617500	NAD83	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCSB21073" target="_blank">View Details</a>	
RSA	RSA756078	Azolla filiculoides	A. C. Sanders, Mark Elvin, Dave Fleitner		27131		2452858	2452858	2003-08-06	Los Angeles	280m	Newhall Ranch, Santa Clara Riverbed, below confluence of Castaic Creek, east of Del Valle	34.418611	-118.636944	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA756078" target="_blank">View Details</a>	
CHSC	CHSC46038	Azolla microphylla	Lowell Ahart		697		2442422	2442422	1975-01-09	Butte	60 m	On the west side of North Honcut Creek, about 2 1/2 miles north and 3 miles east of Honcut, from Honcut go east to Dunstone Drive and stop when you get to the 'S' curve, then go west about 1/4 mile to North Honcut Creek.	39.364722	-121.475833	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC46038" target="_blank">View Details</a>	
HREC	HREC1085	Azolla filiculoides	A. H. M.	HF 	145		2436650	2436650	3-22-59	Mendocino		Lake pasture	38.997352	-123.071840	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=HREC1085" target="_blank">View Details</a>	
IRVC	IRVC23261	Azolla filiculoides	Fred M. Roberts		2029		2446264	2446264	Jul 17 1985	Orange	21 m	San Juan Capistrano: San Juan Creek at 405 Fwy bridge Southern Coastal	33.493767	-117.659812	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=IRVC23261" target="_blank">View Details</a>	
RSA	RSA146494	Azolla filiculoides	Peter H. Raven		16703		2437560	2437560	1961-09-17	San Bernardino	793m	Cajon Canyon below Cajon Station, at Cajon Campground	34.274200	-117.451200	NAD83	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA146494" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC68337	Azolla filiculoides	Greg de Nevers		8125		2446835	2446835	8 Feb. 1987	Sonoma	400 - 400m m	Pepperwood Ranch Natural Preserve, 3500 Franz Valley Rd., Santa Rosa	38.566667	-122.700000	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC68337" target="_blank">View Details</a>	
CHSC	CHSC106105	Azolla microphylla	Lowell Ahart; John Dittes		16955		2455408	2455408	2010-07-30	Siskiyou	716 m	Along the west edge of the Shasta River, about 120 yards northwest of the East Louie Road Bridge, Shasta Big Springs Ranch, 1.6 miles (air) southwest of Big Springs Lake, 4.6 miles (air) northwest of Dwinnel Dam, 5.7 miles (air) southeast of Grenada.	41.590833	-122.438333	NULL	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC106105" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66254	Azolla mexicana	M. S. Taylor; L. Ahart		5162		2445254	2445254	11/X/1982	Butte	21 m	Pennington quad. Graylodge Wildlife Refuge, m side of Rutherford Rd, ca. 1/2 mi e of Pennington Rd,	39.318428	-121.806910	Terrain Navigator 1:24,000 (copied from UC1509659)	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66254" target="_blank">View Details</a>	
RSA	RSA233312	Azolla filiculoides	Philip A. Munz		18060		2439979	2439979	1968-05-02	Inyo	1280m	Place on Hogback Creek, north end of Alabama Hills.	36.669300	-118.135600	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA233312" target="_blank">View Details</a>	
JEPS	JEPS124325	Azolla filiculoides	Lowell Ahart		20570		2457316	2457316	Oct 20, 2015	Butte		About half way of and east of One Mile Pond, about 6 miles (air) east of Biggs.	39.426139	-121.624833	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS124325" target="_blank">View Details</a>	
UCR	UCR271712	Azolla filiculoides	Mitch Provance		17172	B	2455740	2455740	2011-Jun-27	San Bernardino	268 m	San Bernardino Valley, Near Colton, 0.3 mi. S of Agua Mansa Rd., at the confluence of the Rialto Channel and the Santa Ana River	34.044190	-117.353110	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR271712" target="_blank">View Details</a>	
UCSB	UCSB52947	Azolla filiculoides	Roberts, Fred; Polek, M.				2445655	2445655	1983-11-16	Orange	2 m	Newport Beach; upper Newport Back Bay near Back Bay Drive, 3.0 km. W UCI campus center	33.646765	-117.874603	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCSB52947" target="_blank">View Details</a>	
CHSC	CHSC43601	Azolla filiculoides	Vernon Oswald		2361		2446916	2446916	1987-04-30	Butte	80 m	Butte Creek Reserve on the s side of Butte Creek, ne of the Skyway.	39.708889	-121.746389	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC43601" target="_blank">View Details</a>	
HSC	HSC33719	Azolla microphylla	Scott M. Kruse		55		2442557	2442557	24 May 1975	Humboldt		Samoa Dunes, off Samoa Blvd. across from boat landing	40.763150	-124.222030	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=HSC33719" target="_blank">View Details</a>	
CHSC	CHSC116021	Azolla filiculoides	Lowell Ahart		20570		2457316	2457316	2015-10-20	Butte	26 m	On the west side of the Feather River, about half way of and east of One Mile Pond, about 6 miles (air) east of Biggs.	39.426111	-121.624722	NULL	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC116021" target="_blank">View Details</a>	
RSA	RSA0040411	Azolla filiculoides	Nick Jensen, Ed Kentner, Chris Winchell, Onkar Singh, Lorraine Washburn		920		2456754	2456754	2014-04-06	Kern	532m	Spring along Tunis Creek, approx. 3 air miles SW of Chimenez Road.	34.971908	-118.781899	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA0040411" target="_blank">View Details</a>	
CHSC	CHSC46858	Azolla microphylla	Vernon Oswald		3990		2447776	2447776	1989-09-06	Butte	30 m	Hwy 162 just e of the railroad crossing at the Rice Experimant Station, ca. 2.5 mi sse of Richvale.	39.464722	-121.733333	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC46858" target="_blank">View Details</a>	
JEPS	JEPS113220	Azolla microphylla	Lowell Ahart		13562		2454146	2454146	02 14 2007	Butte	49 m	Dredge ponds along the east side of Wilson Creek, about 1/2 mile north of the Honcut Cemetary, about 3 3/4 miles (air) northeast of Honcut	39.351665	-121.478060	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS113220" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66232	Azolla filiculoides	Mary DeDecker		3047		2441713	2441713	1/30/73	Inyo	1170 m	Owens Valley, Artesian well ca. 1 mile east of Independence	36.799100	-118.142200	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66232" target="_blank">View Details</a>	
LA	LA94039	Azolla filiculoides	Peter H. Raven;		14534		2436839	2436839	September 27 1959	Ventura	955 ft	SANTA MONICA MOUNTAINS, Hidden Valley, NW-side of Lake Sherwood.	34.139459	-118.870877	NAD27	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=LA94039" target="_blank">View Details</a>	
SBBG	SBBG40056	Azolla filiculoides	H. M. Pollard				2436644	2436644	16-Mar-1959	Santa Barbara		Ganna Walska Estate (Lotusland), Sycamore Cyn Rd, Montecito	34.440600	-119.657800		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG40056" target="_blank">View Details</a>	
UCD	UCD149960	Azolla filiculoides	William Anderson	s.n.			2438633	2438633	25 Aug 1964	Fresno	46 m	Firebaugh.	36.858889	-120.456111	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCD149960" target="_blank">View Details</a>	
SDSU	SDSU16204	Azolla filiculoides	Jon Rebman, Mike Mayer		7506		2452186	2452186	10/03/2001	San Diego	20 m	Mission Valley Preserve: along the San Diego River from Sefton Park to the Interstate 5 bridge	32.761670	-117.191670	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SDSU16204" target="_blank">View Details</a>	
SD	SD112058	Azolla filiculoides	Linda Allen, Betsy Carpenter				2442493	2442493	Mar 21, 1975	Los Angeles		Santa Catalina Island, Cottonwood Creek	33.384600	-118.447900	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD112058" target="_blank">View Details</a>	
SBBG	SBBG41911	Azolla filiculoides	H. M. Pollard				2437927	2437927	19-Sep-1962	Ventura		Coyote Crk, ca. 0.25 mi N of Ventura River bridge, Foster Park	34.359000	-119.316000		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG41911" target="_blank">View Details</a>	
SD	SD86073	Azolla filiculoides	R. Mitchel Beauchamp, R. C. Pierce		2698		2441105	2441105	Jun 02, 1971	San Diego	1007 m	In slow stream, Echo Dell.	32.900000	-116.650000	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD86073" target="_blank">View Details</a>	
UCR	UCR96383	Azolla filiculoides	George K. Helmkamp		1254		2450356	2450356	1996-Sep-29	Mono	2073 m	Spring [Layton Springs] on the east side of Lake Crowley 3.5 miles SSE of Benton Crossing	37.633330	-118.730000	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR96383" target="_blank">View Details</a>	
GH	GH376904	Azolla filiculoides	P. A. Munz		18060		2439979	2439979	1968-05-02 - 1968-05-02	Unknown	1280 m	on Hogback Creek, north end of Alabama Hills	36.669300	-118.135600	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=GH376904" target="_blank">View Details</a>	
UCD	UCD73310	Azolla	D. PeBenito, J. Baty, C. Leonzo		36		2454509	2454509	12 Feb 2008	Sacramento	3 m	Cosumnes River Preserve. Along Franklin Blvd near Boardwalk Trail.	38.251336	-121.440046	NAD83	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCD73310" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC65172	Azolla filiculoides	Dana Adrian York		303		2450145	2450145	2 March 1996	Fresno	130 - 130m m	Ca 22 km E of Fresno, along the Friant-Kern Canal near Watts Valley Rd.	36.804167	-119.497222	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC65172" target="_blank">View Details</a>	
